Id,groups_transfer,groups_104,college,transfer_eigenCentrality,job_1st-2nd,job_2nd-3rd,industr_1st-2nd,industr_2nd-3rd,transfer_pageranks,transfer_clustering_coefficient,transfer_indegree,transfer_outdegree,transfer_degree,ntuApplic_pageranks,ntuApplic_degree,ntuApplic_eigenCentrality,ntuApplic_clustering_coefficient
法律學系財經法學組,1,11,法律學院,0.544173,19.048279,10.240727,10.409469,12.908554,0.029998,0.277778,8,2,10,0.015417,8,0.343852,0.928571
社會工作學系,2,1,社科學院,0.135242,20.426396,19.362729,16.184578,19.090417,0.017487,0.4,1,6,7,0.011156,6,0.080965,0.466667
生物產業傳播暨發展學系,5,2,生農學院,0.582487,19.351894,24.530172,18.829992,20.519518,0.029936,0.282051,8,6,14,0.01658,17,0.531497,0.279412
法律學系法學組,2,11,法律學院,0.495077,19.048279,10.240727,10.409469,12.908554,0.027385,0.2,4,1,5,0.014682,10,0.356535,0.6
工商管理學系科技管理組,2,8,管理學院,0.179811,19.47985,19.865371,16.861809,16.942803,0.00904,0.166667,2,2,4,0.016529,13,0.654917,0.692308
公共衛生學系,2,2,公衛學院,0.011621,23.304127,22.617304,15.105847,17.711976,0.005207,0.166667,1,3,4,0.015261,14,0.455129,0.340659
物理治療學系,2,2,醫學院,0.010126,20.866253,24.706983,19.475115,26.204522,0.007097,0,2,0,2,0.012699,7,0.151273,0.428571
國際企業學系,2,5,管理學院,0,17.426241,20.290533,16.346735,14.390851,0.004737,0,0,2,2,0.034906,16,0.710887,0.575
歷史學系,8,1,文學院,0.493606,15.424893,17.807138,16.894231,17.568168,0.018921,0.318681,9,5,14,0.018895,9,0.13823,0.388889
護理學系,2,2,醫學院,0.011621,45.122534,18.002254,49.174067,21.524859,0.005207,0,1,5,6,0.004477,2,0.044212,1
生化科技學系,2,2,生命科學院,0.147659,16.231326,31.330292,18.192459,25.656955,0.014072,0.166667,7,2,9,0.013876,12,0.437191,0.393939
化學系,2,4,理學院,0.156985,22.206317,21.666822,19.473544,16.167138,0.01464,0.214286,5,3,8,0.017035,16,0.695436,0.525
社會學系,1,1,社科學院,0.295376,20.110526,21.641627,18.434683,18.503596,0.021717,0.254545,5,6,11,0.010509,6,0.09035,0.8
會計學系,5,9,管理學院,0.807663,51.50677,26.579231,43.670767,22.755226,0.035381,0.416667,8,1,9,0.029702,18,0.825437,0.542484
外國語文學系,1,1,文學院,0.470497,17.181577,19.047069,15.96096,17.604179,0.04137,0.416667,4,5,9,0.024068,19,0.495438,0.327485
經濟學系,11,5,社科學院,1,17.68835,19.574009,15.387759,15.049131,0.044758,0.261438,14,4,18,0.033592,19,0.77655,0.409357
數學系,2,2,理學院,0.189323,25.090611,25.040893,24.866464,21.230937,0.0094,1,2,0,2,0.007601,6,0.301319,0.533333
昆蟲學系,2,2,生農學院,0,22.116899,23.280374,25.064723,25.426135,0.004737,0.333333,0,4,4,0.005865,3,0.089723,1
法律學系司法組,6,11,法律學院,0.610284,19.048279,10.240727,10.409469,12.908554,0.022839,0.138889,9,0,9,0.016455,11,0.441673,0.618182
中國文學系,1,1,文學院,0.525943,16.254137,16.490831,14.501162,17.081837,0.019705,0.320513,5,8,13,0.013248,7,0.114579,0.52381
農業經濟學系,5,2,生農學院,0.144386,19.42543,22.717757,19.685126,18.673313,0.007918,0.25,1,8,9,0.005073,4,0.157875,0.833333
農藝學系,3,7,生農學院,0.15807,18.252315,22.968914,21.709802,21.282765,0.024603,0.133333,2,9,11,0.015546,9,0.24,0.583333
人類學系,1,2,文學院,0.040483,20.405451,19.867586,18.686434,19.174397,0.006637,0.257576,1,11,12,0.004029,1,0.003453,0
日本語文學系,8,2,文學院,0.184647,19.536839,21.105615,18.695292,18.446078,0.011053,0.428571,3,5,8,0.010274,5,0.069148,0.8
森林環境暨資源學系,4,7,生農學院,0.132447,17.355495,19.71399,16.913347,18.062607,0.010018,0.169935,2,16,18,0.028569,20,0.531265,0.273684
政治學系公共行政組,1,1,社科學院,0.347233,18.713994,18.746462,15.612967,16.985166,0.025316,0.266667,4,8,12,0.017309,9,0.153421,0.527778
政治學系國際關係組,6,1,社科學院,0.386979,18.713994,18.746462,15.612967,16.985166,0.019088,0.214286,5,3,8,0.012918,9,0.241918,0.527778
戲劇學系,2,2,文學院,0.165652,20.229069,23.680584,20.419783,23.755842,0.008423,0.333333,2,3,5,0.008036,5,0.0691,0.4
生命科學系,2,2,生命科學院,0.058716,19.171869,21.419254,20.438711,19.661642,0.006966,0.285714,1,6,7,0.015617,13,0.361409,0.410256
圖書資訊學系,5,1,文學院,0.08477,19.51069,21.598417,18.784011,20.21074,0.00653,0.428571,1,7,8,0.018235,9,0.10137,0.527778
醫學系,2,2,醫學院,0.006099,16.710137,8.86656,24.84995,23.449307,0.009982,0,1,1,2,0.003565,2,0.099311,1
植物病理與微生物學系,2,2,生農學院,0,25.521423,21.675397,23.585945,21.844902,0.004737,0.3,0,5,5,0.007212,5,0.138785,0.9
